file,sha256,source
complete_case_summary.csv,59bc65b8f6015d25432c158cfbee2860b63b2a99bb6d9bd6a4be8284cdd342be,Event-level evaluation; see PAPER_SYNC.md
complete_event_likelihood.csv,d0a85db8f716146f6b6eb7614e0f4a777f2243e309e6995dcd1e0616a98d90dc,Event-level evaluation; see PAPER_SYNC.md
complete_period_holdout.csv,bbe349081a18d74db5573d36d93b922b4ca65f30dd399acd38ba71f8d43d6e77,Event-level evaluation; see PAPER_SYNC.md
complete_random_holdout.csv,ec076be3ac531ebcc1a69a044993d0112174bdc9fc71c1db15b0607379ad1683,Event-level evaluation; see PAPER_SYNC.md
complete_station_holdout.csv,d691c6e9bf3c917cacadb34a6f585bffc8c93098eee1e7a013e16efa91122fd2,Event-level evaluation; see PAPER_SYNC.md
full_event_likelihood.csv,b2d769ae1e6a8b5f32f9c25d66eac34b822e52055b789554b039f50ad8fe4ff2,Event-level evaluation; see PAPER_SYNC.md
full_period_holdout.csv,a87850906a5c6c31e82e7adfe9818dfafb49f7f016634de8f0d867957ab4f5ea,Event-level evaluation; see PAPER_SYNC.md
full_random_holdout.csv,89b61f19ebeb028347999e88c1811e94544c3ee58e1e8cb20543dac84aed5771,Event-level evaluation; see PAPER_SYNC.md
full_station_holdout.csv,9b979f05cb1ff11125d8bb8d2f0e3a3ffd5b2319e7269bc087e49b02757d67b1,Event-level evaluation; see PAPER_SYNC.md
models.csv,692539ffbde4245a0f66a77d086d54167025ff343b27247d0b6d0b27fd506e34,Event-level evaluation; see PAPER_SYNC.md
pooled_holdouts_all_models.csv,6aeee499695e4e9a7973164af275ad09176de8df58841cb2cd8caa591e241557,Event-level evaluation; see PAPER_SYNC.md
replicate_scores_all_models.csv,193790d9ec64372af84f1d52d399571df1f088a09195ee7899a5e9080514fb1e,Event-level evaluation; see PAPER_SYNC.md
summary_all_models.csv,1ef529a4d6403a72495c6e36df464d6b2d43ad858633841cbf87cf26db6cbc2d,Event-level evaluation; see PAPER_SYNC.md
wins_mean_sd_rank_all_models.csv,32a59fa5e2f0b33276ef7941e85563f56237699d4520d1da373dad06fab383bd,Event-level evaluation; see PAPER_SYNC.md
